mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
6	6	73/2	73/2	0.5	1/8	1/8	Chord	4/2	3	1	1/8	1/8	1	43	ch'a-									
6	6	37	37	0.5	1/4	1/4	Chord	4/2	3	1	1/8	1/8	1	44	-lle									
6	6	75/2	75/2	0.5	3/8	3/8	Chord	4/2	3	1	1/8	1/8	1	45	dog-									
6	6	38	38	1.5	1/2	1/2	Chord	4/2	3	1	3/8	1/4	3/2	46	-lio-									
6	6	79/2	79/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	47	-se									
6	6	40	40	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	48	ri-									
6	6	42	42	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	49	-me									
6	6	43	43	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	50	Pieg-									
6	6	36	36	4.0	0	0	Chord	4/2	21	1	1	1	1	51										
6	6	40	40	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	52										
6	6	42	42	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	53										
7	7	44	44	0.5	0	0	Chord	4/2	3	1	1/8	1/8	1	54	-as-									
7	7	89/2	89/2	0.5	1/8	1/8	Chord	4/2	3	1	1/8	1/8	1	55	-te									
7	7	45	45	0.5	1/4	1/4	Chord	4/2	3	1	1/8	1/8	1	56	per									
7	7	91/2	91/2	0.5	3/8	3/8	Chord	4/2	3	1	1/8	1/8	1	57	pie									
7	7	46	46	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	58	ta									
7	7	47	47	1.0	3/4	3/4	Chord	4/2	3	1	1/4	1/4	1	59	l'al-									
7	7	48	48	0.25	1	1	Chord	4/2	3	1	1/16	1/16	1	60	-te-									
7	7	193/4	193/4	0.25	17/16	17/16	Chord	4/2	3	1	1/16	1/16	1	61										
7	7	97/2	97/2	0.25	9/8	9/8	Chord	4/2	3	1	1/16	1/16	1	62										
7	7	195/4	195/4	0.25	19/16	19/16	Chord	4/2	3	1	1/16	1/16	1	63										
7	7	49	49	2.0	5/4	5/4	Chord	4/2	3	1	1/2	1/2	1	64										
7	7	51	51	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	65	-re									
7	7	44	44	3.0	0	0	Chord	4/2	21	1	3/4	1/2	3/2	66										
7	7	47	47	1.0	3/4	3/4	Chord	4/2	21	1	1/4	1/4	1	67										
7	7	48	48	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	68										
7	7	50	50	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/2	#6	
7	7	50	50	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	69										
8	8	52	52	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	70	ci-									
8	8	53	53	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	71	-me									
8	8	55	55	1.0	3/4	3/4	Chord	4/2	3	1	1/4	1/4	1	72	Nom									
8	8	56	56	0.5	1	1	Chord	4/2	3	1	1/8	1/8	1	73										
8	8	113/2	113/2	1.0	9/8	9/8	Chord	4/2	3	1	1/4	1/4	1	74	fia									
8	8	115/2	115/2	0.5	11/8	11/8	Chord	4/2	3	1	1/8	1/8	1	75	piu									
8	8	58	58	2.0	3/2	3/2	Chord	4/2	3	1	1/2	1/2	1	76	no									
8	8	52	52	0.0	0	0	FiguredBass	4/2	21	1	0											1/2	#	
8	8	52	52	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	77										
8	8	54	54	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	78										
8	8	56	56	1.0	1	1	Chord	4/2	21	1	1/4	1/4	1	79										
8	8	57	57	0.0	5/4	5/4	FiguredBass	4/2	21	1	0											1/4	#	
8	8	57	57	1.0	5/4	5/4	Chord	4/2	21	1	1/4	1/4	1	80										
8	8	58	58	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	81										
9	9	121/2	121/2	0.5	1/8	1/8	Chord	4/2	3	1	1/8	1/8	1	82	che									
9	9	61	61	0.5	1/4	1/4	Chord	4/2	3	1	1/8	1/8	1	83	la									
9	9	123/2	123/2	0.5	3/8	3/8	Chord	4/2	3	1	1/8	1/8	1	84	mia									
9	9	62	62	1.5	1/2	1/2	Chord	4/2	3	1	3/8	1/4	3/2	85	no-									
9	9	127/2	127/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	86	-bil									
9	9	64	64	1.0	1	1	Chord	4/2	3	1	1/4	1/4	1	87	ce-									
9	9	65	65	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	88	-tra									
9	9	133/2	133/2	0.5	13/8	13/8	Chord	4/2	3	1	1/8	1/8	1	89	con									
9	9	67	67	0.5	7/4	7/4	Chord	4/2	3	1	1/8	1/8	1	90	fle-									
9	9	135/2	135/2	0.5	15/8	15/8	Chord	4/2	3	1	1/8	1/8	1	91	-bil									
9	9	60	60	4.0	0	0	Chord	4/2	21	1	1	1	1	92										
9	9	64	64	0.0	1	1	FiguredBass	4/2	21	1	0											1/2	#	
9	9	64	64	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	93										
9	9	66	66	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/2	#	
9	9	66	66	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	94										
10	10	68	68	2.0	0	0	Chord	4/2	3	1	1/2	1/2	1	95	can-									
10	10	70	70	2.0	1/2	1/2	Chord	4/2	3	1	1/2	1/2	1	96	-to									
10	10	145/2	145/2	0.5	9/8	9/8	Chord	4/2	3	1	1/8	1/8	1	97	a									
10	10	73	73	0.5	5/4	5/4	Chord	4/2	3	1	1/8	1/8	1	98	lag-									
10	10	147/2	147/2	0.5	11/8	11/8	Chord	4/2	3	1	1/8	1/8	1	99	-ri-									
10	10	74	74	2.0	3/2	3/2	Chord	4/2	3	1	1/2	1/2	1	100	-mar									
10	10	68	68	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
10	10	68	68	4.0	0	0	Chord	4/2	21	1	1	1	1	101										
10	10	72	72	4.0	1	1	Chord	4/2	21	1	1	1	1	102										
11	11	76	76	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	103										
11	11	77	77	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	104	v'all-									
11	11	78	78	2.0	1/2	1/2	Chord	4/2	3	1	1/2	1/2	1	105	-e-									
11	11	80	80	4.0	1	1	Chord	4/2	3	1	1	1	1	106	-tti									
11	11	76	76	0.0	0	0	FiguredBass	4/2	21	1	0											1/4	#	
11	11	76	76	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	107										
11	11	77	77	0.0	1/4	1/4	FiguredBass	4/2	21	1	0											1/4	11	
11	11	78	78	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/4	11	
11	11	78	78	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	108										
11	11	79	79	0.0	3/4	3/4	FiguredBass	4/2	21	1	0											1/4	#	
11	11	80	80	4.0	1	1	Chord	4/2	21	1	1	1	1	109										
12	12	85	85	0.5	1/4	1/4	Chord	4/2	3	1	1/8	1/8	1	110	In-									
12	12	171/2	171/2	0.5	3/8	3/8	Chord	4/2	3	1	1/8	1/8	1	111	-e-									
12	12	86	86	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	112	-ffa-									
12	12	87	87	0.5	3/4	3/4	Chord	4/2	3	1	1/8	1/8	1	113	-bil									
12	12	175/2	175/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	114	mer-									
12	12	88	88	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	115	-ce-									
12	12	90	90	2.0	3/2	3/2	Chord	4/2	3	1	1/2	1/2	1	116	-de									
12	12	84	84	8.0	0	0	Chord	4/2	21	1	2	2	1	117										
13	13	92	92	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	118										
13	13	93	93	2.0	1/4	1/4	Chord	4/2	3	1	1/2	1/2	1	119	al-									
13	13	95	95	0.5	3/4	3/4	Chord	4/2	3	1	1/8	1/8	1	120	-mi									
13	13	191/2	191/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	121	di-									
13	13	96	96	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	122	-le-									
13	13	98	98	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	123	-ttie									
13	13	99	99	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	124	A-									
13	13	92	92	8.0	0	0	Chord	4/2	21	1	2	2	1	125										
14	14	100	100	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	126	-mor-									
14	14	101	101	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	127	-cor-									
14	14	102	102	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	128	-tes									
14	14	103	103	1.0	3/4	3/4	Chord	4/2	3	1	1/4	1/4	1	129	'og-									
14	14	104	104	1.0	1	1	Chord	4/2	3	1	1/4	1/4	1	130										
14	14	105	105	0.5	5/4	5/4	Chord	4/2	3	1	1/8	1/8	1	131	-gial									
14	14	211/2	211/2	0.5	11/8	11/8	Chord	4/2	3	1	1/8	1/8	1	132	mio									
14	14	106	106	0.5	3/2	3/2	Chord	4/2	3	1	1/8	1/8	1	133	pian-									
14	14	213/2	213/2	0.5	13/8	13/8	Chord	4/2	3	1	1/8	1/8	1	134										
14	14	107	107	1.0	7/4	7/4	Chord	4/2	3	1	1/4	1/4	1	135										
14	14	100	100	4.0	0	0	Chord	4/2	21	1	1	1	1	136										
14	14	104	104	4.0	1	1	Chord	4/2	21	1	1	1	1	137										
15	15	108	108	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	138										
15	15	109	109	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	139	-t'im-									
15	15	110	110	2.0	1/2	1/2	Chord	4/2	3	1	1/2	1/2	1	140	-pet-									
15	15	112	112	4.0	1	1	Chord	4/2	3	1	1	1	1	141	-ra									
15	15	108	108	0.0	0	0	FiguredBass	4/2	21	1	0											1/4	#	
15	15	108	108	4.0	0	0	Chord	4/2	21	1	1	1	1	142										
15	15	109	109	0.0	1/4	1/4	FiguredBass	4/2	21	1	0											1/4	11	
15	15	110	110	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/4	11	
15	15	111	111	0.0	3/4	3/4	FiguredBass	4/2	21	1	0											1/4	#	
15	15	112	112	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
15	15	112	112	4.0	1	1	Chord	4/2	21	1	1	1	1	143										
16	16	119	119	1.0	3/4	3/4	Chord	4/2	3	1	1/4	1/4	1	144	Ma-									
16	16	120	120	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	145	-deh									
16	16	122	122	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	146	per									
16	16	123	123	0.5	7/4	7/4	Chord	4/2	3	1	1/8	1/8	1	147	che									
16	16	247/2	247/2	0.5	15/8	15/8	Chord	4/2	3	1	1/8	1/8	1	148	si									
16	16	116	116	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
16	16	116	116	4.0	0	0	Chord	4/2	21	1	1	1	1	149										
16	16	120	120	4.0	1	1	Chord	4/2	21	1	1	1	1	150										
17	17	124	124	2.0	0	0	Chord	4/2	3	1	1/2	1/2	1	151	-len-									
17	17	126	126	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	152	-te									
17	17	127	127	0.5	3/4	3/4	Chord	4/2	3	1	1/8	1/8	1	153	del									
17	17	255/2	255/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	154	bel									
17	17	128	128	1.0	1	1	Chord	4/2	3	1	1/4	1/4	1	155	carr'									
17	17	129	129	0.5	5/4	5/4	Chord	4/2	3	1	1/8	1/8	1	156	i-									
17	17	259/2	259/2	0.5	11/8	11/8	Chord	4/2	3	1	1/8	1/8	1	157	-mmor-									
17	17	130	130	0.5	3/2	3/2	Chord	4/2	3	1	1/8	1/8	1	158	-tal									
17	17	261/2	261/2	0.5	13/8	13/8	Chord	4/2	3	1	1/8	1/8	1	159	le									
17	17	131	131	0.5	7/4	7/4	Chord	4/2	3	1	1/8	1/8	1	160	rot'									
17	17	263/2	263/2	0.5	15/8	15/8	Chord	4/2	3	1	1/8	1/8	1	161	ac-									
17	17	124	124	8.0	0	0	Chord	4/2	21	1	2	2	1	162										
18	18	132	132	0.75	0	0	Chord	4/2	3	1	3/16	1/8	3/2	163	-ce-									
18	18	531/4	531/4	0.25	3/16	3/16	Chord	4/2	3	1	1/16	1/16	1	164	-se									
18	18	133	133	0.5	1/4	1/4	Chord	4/2	3	1	1/8	1/8	1	165	Perl									
18	18	267/2	267/2	0.5	3/8	3/8	Chord	4/2	3	1	1/8	1/8	1	166	'e-									
18	18	134	134	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	167	-ter-									
18	18	135	135	0.5	3/4	3/4	Chord	4/2	3	1	1/8	1/8	1	168	-no									
18	18	271/2	271/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	169	cam-									
18	18	136	136	1.0	1	1	Chord	4/2	3	1	1/4	1/4	1	170	-min									
18	18	137	137	2.0	5/4	5/4	Chord	4/2	3	1	1/2	1/2	1	171	tar-									
18	18	139	139	0.5	7/4	7/4	Chord	4/2	3	1	1/8	1/8	1	172	-dono									
18	18	279/2	279/2	0.5	15/8	15/8	Chord	4/2	3	1	1/8	1/8	1	173	il									
18	18	132	132	0.0	0	0	FiguredBass	4/2	21	1	0											1/2	#	
18	18	132	132	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	174										
18	18	134	134	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	#	
18	18	134	134	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	175										
18	18	136	136	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	176										
18	18	138	138	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	177										
19	19	140	140	2.0	0	0	Chord	4/2	3	1	1/2	1/2	1	178	cor-									
19	19	142	142	2.0	1/2	1/2	Chord	4/2	3	1	1/2	1/2	1	179	-fo									
19	19	144	144	1.5	1	1	Chord	4/2	3	1	3/8	1/4	3/2	180	Sfer-									
19	19	291/2	291/2	0.5	11/8	11/8	Chord	4/2	3	1	1/8	1/8	1	181	-za									
19	19	146	146	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	182	Pa-									
19	19	147	147	0.5	7/4	7/4	Chord	4/2	3	1	1/8	1/8	1	183	-dre-									
19	19	295/2	295/2	0.5	15/8	15/8	Chord	4/2	3	1	1/8	1/8	1	184	-cor									
19	19	140	140	0.0	0	0	FiguredBass	4/2	21	1	0											1/2	6	
19	19	140	140	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	185										
19	19	142	142	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	#	
19	19	142	142	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	186										
19	19	144	144	1.0	1	1	Chord	4/2	21	1	1/4	1/4	1	187										
19	19	145	145	0.0	5/4	5/4	FiguredBass	4/2	21	1	0											1/4	#	
19	19	145	145	1.0	5/4	5/4	Chord	4/2	21	1	1/4	1/4	1	188										
19	19	146	146	1.0	3/2	3/2	Chord	4/2	21	1	1/4	1/4	1	189										
19	19	147	147	1.0	7/4	7/4	Chord	4/2	21	1	1/4	1/4	1	190										
20	20	148	148	0.5	0	0	Chord	4/2	3	1	1/8	1/8	1	191	te									
20	20	297/2	297/2	0.5	1/8	1/8	Chord	4/2	3	1	1/8	1/8	1	192	se									
20	20	149	149	0.5	1/4	1/4	Chord	4/2	3	1	1/8	1/8	1	193	a									
20	20	299/2	299/2	0.5	3/8	3/8	Chord	4/2	3	1	1/8	1/8	1	194	vo-									
20	20	150	150	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	195	-lan-									
20	20	151	151	0.5	3/4	3/4	Chord	4/2	3	1	1/8	1/8	1	196	-ti									
20	20	303/2	303/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	197	des-									
20	20	152	152	1.0	1	1	Chord	4/2	3	1	1/4	1/4	1	198	-trier									
20	20	153	153	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	199	le									
20	20	154	154	2.0	3/2	3/2	Chord	4/2	3	1	1/2	1/2	1	200	grop-									
20	20	148	148	0.0	0	0	FiguredBass	4/2	21	1	0											1/2	#	
20	20	148	148	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	201										
20	20	150	150	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	202										
20	20	152	152	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	203										
20	20	154	154	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	204										
21	21	156	156	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	205										
21	21	157	157	1.0	1/4	1/4	Chord	4/2	3	1	1/4	1/4	1	206	p'el									
21	21	158	158	2.0	1/2	1/2	Chord	4/2	3	1	1/2	1/2	1	207	dor-									
21	21	160	160	4.0	1	1	Chord	4/2	3	1	1	1	1	208	-so									
21	21	156	156	0.0	0	0	FiguredBass	4/2	21	1	0											1/4	#	
21	21	156	156	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	209										
21	21	157	157	0.0	1/4	1/4	FiguredBass	4/2	21	1	0											1/4	11	
21	21	158	158	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/4	11	
21	21	158	158	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	210										
21	21	159	159	0.0	3/4	3/4	FiguredBass	4/2	21	1	0											1/4	#	
21	21	160	160	4.0	1	1	Chord	4/2	21	1	1	1	1	211										
22	22	164	164	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	212	Speg-									
22	22	165	165	0.5	1/4	1/4	Chord	4/2	3	1	1/8	1/8	1	213	-ni									
22	22	331/2	331/2	0.5	3/8	3/8	Chord	4/2	3	1	1/8	1/8	1	214	nell									
22	22	166	166	1.5	1/2	1/2	Chord	4/2	3	1	3/8	1/4	3/2	215	'on									
22	22	335/2	335/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	216	deo									
22	22	168	168	1.0	1	1	Chord	4/2	3	1	1/4	1/4	1	217	mai-									
22	22	169	169	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	218	-i									
22	22	170	170	1.0	3/2	3/2	Chord	4/2	3	1	1/4	1/4	1	219	Speg-									
22	22	171	171	0.5	7/4	7/4	Chord	4/2	3	1	1/8	1/8	1	220	-nio									
22	22	343/2	343/2	0.5	15/8	15/8	Chord	4/2	3	1	1/8	1/8	1	221	nas-									
22	22	164	164	4.0	0	0	Chord	4/2	21	1	1	1	1	222										
22	22	168	168	0.0	1	1	FiguredBass	4/2	21	1	0											1/2	#	
22	22	168	168	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	223										
22	22	170	170	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/2	#	
22	22	170	170	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	224										
23	23	172	172	1.5	0	0	Chord	4/2	3	1	3/8	1/4	3/2	225	-con-									
23	23	347/2	347/2	0.5	3/8	3/8	Chord	4/2	3	1	1/8	1/8	1	226	-di									
23	23	174	174	0.5	1/2	1/2	Chord	4/2	3	1	1/8	1/8	1	227	fia-									
23	23	349/2	349/2	0.5	5/8	5/8	Chord	4/2	3	1	1/8	1/8	1	228	-me-									
23	23	175	175	0.75	3/4	3/4	Chord	4/2	3	1	3/16	1/8	3/2	229	-ggian-									
23	23	703/4	703/4	0.25	15/16	15/16	Chord	4/2	3	1	1/16	1/16	1	230	-ti									
23	23	176	176	1.0	1	1	Chord	4/2	3	1	1/4	1/4	1	231	rai									
23	23	177	177	1.0	5/4	5/4	Chord	4/2	3	1	1/4	1/4	1	232										
23	23	172	172	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	233										
23	23	174	174	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	#	
23	23	174	174	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	234										
23	23	176	176	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
23	23	176	176	4.0	1	1	Chord	4/2	21	1	1	1	1	235										
24	24	181	181	0.5	1/4	1/4	Chord	4/2	3	1	1/8	1/8	1	236	Be-									
24	24	363/2	363/2	0.5	3/8	3/8	Chord	4/2	3	1	1/8	1/8	1	237	-lla									
24	24	182	182	1.0	1/2	1/2	Chord	4/2	3	1	1/4	1/4	1	238	Mad-									
24	24	183	183	0.5	3/4	3/4	Chord	4/2	3	1	1/8	1/8	1	239	-red									
24	24	367/2	367/2	0.5	7/8	7/8	Chord	4/2	3	1	1/8	1/8	1	240	'A-									
24	24	184	184	2.0	1	1	Chord	4/2	3	1	1/2	1/2	1	241	-mor									
24	24	187	187	0.5	7/4	7/4	Chord	4/2	3	1	1/8	1/8	1	242	Bel-									
24	24	375/2	375/2	0.5	15/8	15/8	Chord	4/2	3	1	1/8	1/8	1	243	-la									
24	24	180	180	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
24	24	180	180	4.0	0	0	Chord	4/2	21	1	1	1	1	244										
24	24	184	184	0.0	1	1	FiguredBass	4/2	21	1	0											1/2	#	
24	24	184	184	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	245										
24	24	186	186	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/2	#	
24	24	186	186	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	246										
25	25	188	188	1.0	0	0	Chord	4/2	3	1	1/4	1/4	1	247	Ma-									
25	25	189	189	0.5	1/4	1/4	Chord	4/2	3	1	1/8	1/8	1	248	-dre									
25	25	379/2	379/2	0.5	3/8	3/8	Chord	4/2	3	1	1/8	1/8	1	249	d'A-									
25	25	190	190	2.0	1/2	1/2	Chord	4/2	3	1	1/2	1/2	1	250	-mor									
25	25	385/2	385/2	0.5	9/8	9/8	Chord	4/2	3	1	1/8	1/8	1	251	dall									
25	25	193	193	0.75	5/4	5/4	Chord	4/2	3	1	3/16	1/8	3/2	252	'on-									
25	25	775/4	775/4	0.25	23/16	23/16	Chord	4/2	3	1	1/16	1/16	1	253	-de									
25	25	194	194	1.5	3/2	3/2	Chord	4/2	3	1	3/8	1/4	3/2	254	fuo-									
25	25	391/2	391/2	0.5	15/8	15/8	Chord	4/2	3	1	1/8	1/8	1	255	-ra									
25	25	188	188	0.0	0	0	FiguredBass	4/2	21	1	0											1/2	b	
25	25	188	188	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	256										
25	25	190	190	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	#	
25	25	190	190	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	257										
