mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	slur
9	8	135/2	135/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	79	fio-									
9	8	60	60	4.0	0	0	Chord	4/2	21	1	1	1	1	80										
9	8	64	64	4.0	1	1	Chord	4/2	21	1	1	1	1	81										
10	9	68	68	2.0	0	0	Chord	4/2	14	1	1/2	1/2	1	82	-ri-									
10	9	70	70	1.0	1/2	1/2	Chord	4/2	14	1	1/4	1/4	1	83	-teal-									
10	9	71	71	0.5	3/4	3/4	Chord	4/2	14	1	1/8	1/8	1	84	-me									
10	9	143/2	143/2	0.5	7/8	7/8	Chord	4/2	14	1	1/8	1/8	1	85	con-									
10	9	72	72	2.0	1	1	Chord	4/2	14	1	1/2	1/2	1	86	-tra-									
10	9	74	74	1.0	3/2	3/2	Chord	4/2	14	1	1/4	1/4	1	87	-de									
10	9	75	75	1.0	7/4	7/4	Chord	4/2	14	1	1/4	1/4	1	88	Ri-									
10	9	68	68	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	89										
10	9	70	70	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	#	
10	9	70	70	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	90										
10	9	72	72	4.0	1	1	Chord	4/2	21	1	1	1	1	91										
11	10	76	76	0.5	0	0	Chord	4/2	14	1	1/8	1/8	1	92	-suo-									
11	10	153/2	153/2	0.5	1/8	1/8	Chord	4/2	14	1	1/8	1/8	1	93	-nin									
11	10	77	77	0.5	1/4	1/4	Chord	4/2	14	1	1/8	1/8	1	94	lie-									
11	10	155/2	155/2	0.5	3/8	3/8	Chord	4/2	14	1	1/8	1/8	1	95	-te									
11	10	78	78	1.0	1/2	1/2	Chord	4/2	14	1	1/4	1/4	1	96	vo-									
11	10	79	79	1.0	3/4	3/4	Chord	4/2	14	1	1/4	1/4	1	97	-cie									
11	10	80	80	1.5	1	1	Chord	4/2	14	1	3/8	1/4	3/2	98	lie-									
11	10	163/2	163/2	0.5	11/8	11/8	Chord	4/2	14	1	1/8	1/8	1	99	-ti									
11	10	82	82	2.0	3/2	3/2	Chord	4/2	14	1	1/2	1/2	1	100	can-									
11	10	76	76	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	101										
11	10	78	78	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/4	#	
11	10	78	78	1.0	1/2	1/2	Chord	4/2	21	1	1/4	1/4	1	102										
11	10	79	79	1.0	3/4	3/4	Chord	4/2	21	1	1/4	1/4	1	103										
11	10	80	80	1.0	1	1	Chord	4/2	21	1	1/4	1/4	1	104										
11	10	81	81	1.0	5/4	5/4	Chord	4/2	21	1	1/4	1/4	1	105										
11	10	82	82	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/2	#	
11	10	82	82	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	106										
12	11	84	84	4.0	0	0	Chord	4/2	14	1	1	1	1	107	-ti									
12	11	88	88	1.0	1	1	Chord	4/2	14	1	1/4	1/4	1	108	Og-									
12	11	89	89	1.0	5/4	5/4	Chord	4/2	14	1	1/4	1/4	1	109	-gia									
12	11	90	90	1.0	3/2	3/2	Chord	4/2	14	1	1/4	1/4	1	110	som-									
12	11	91	91	0.5	7/4	7/4	Chord	4/2	14	1	1/8	1/8	1	111	-ma									
12	11	183/2	183/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	112	bel-									
12	11	84	84	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
12	11	84	84	4.0	0	0	Chord	4/2	21	1	1	1	1	113										
12	11	88	88	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
12	11	88	88	4.0	1	1	Chord	4/2	21	1	1	1	1	114										
13	12	92	92	2.0	0	0	Chord	4/2	14	1	1/2	1/2	1	115	-ta-									
13	12	94	94	2.0	1/2	1/2	Chord	4/2	14	1	1/2	1/2	1	116	-de,									
13	12	96	96	1.0	1	1	Chord	4/2	14	1	1/4	1/4	1	117	Giun-									
13	12	97	97	1.0	5/4	5/4	Chord	4/2	14	1	1/4	1/4	1	118	-ge									
13	12	98	98	1.0	3/2	3/2	Chord	4/2	14	1	1/4	1/4	1	119	som-									
13	12	99	99	0.5	7/4	7/4	Chord	4/2	14	1	1/8	1/8	1	120	-mo									
13	12	199/2	199/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	121	va-									
13	12	92	92	4.0	0	0	Chord	4/2	21	1	1	1	1	122										
13	12	96	96	4.0	1	1	Chord	4/2	21	1	1	1	1	123										
14	13	100	100	2.0	0	0	Chord	4/2	14	1	1/2	1/2	1	124	-lor									
14	13	102	102	1.0	1/2	1/2	Chord	4/2	14	1	1/4	1/4	1	125	san-									
14	13	103	103	0.5	3/4	3/4	Chord	4/2	14	1	1/8	1/8	1	126	-toI-									
14	13	207/2	207/2	0.5	7/8	7/8	Chord	4/2	14	1	1/8	1/8	1	127	-me-									
14	13	104	104	4.0	1	1	Chord	4/2	14	1	1	1	1	128	-ne-									
14	13	100	100	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	129										
14	13	102	102	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	6	
14	13	102	102	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	130										
14	13	104	104	0.0	1	1	FiguredBass	4/2	21	1	0											1/2	4	
14	13	104	104	4.0	1	1	Chord	4/2	21	1	1	1	1	131										
14	13	106	106	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/2	3	
15	14	108	108	4.0	0	0	Chord	4/2	14	1	1	1	1	132	-o.									
15	14	225/2	225/2	0.5	9/8	9/8	Chord	4/2	14	1	1/8	1/8	1	133	Avv-									
15	14	113	113	0.5	5/4	5/4	Chord	4/2	14	1	1/8	1/8	1	134	-en-									
15	14	227/2	227/2	0.5	11/8	11/8	Chord	4/2	14	1	1/8	1/8	1	135	-tu									
15	14	114	114	1.5	3/2	3/2	Chord	4/2	14	1	3/8	1/4	3/2	136	roso									
15	14	231/2	231/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	137	Or-									
15	14	108	108	4.0	0	0	Chord	4/2	21	1	1	1	1	138										
15	14	112	112	4.0	1	1	Chord	4/2	21	1	1	1	1	139										
16	15	116	116	2.0	0	0	Chord	4/2	14	1	1/2	1/2	1	140	-fe-									
16	15	118	118	2.0	1/2	1/2	Chord	4/2	14	1	1/2	1/2	1	141	-o									
16	15	121	121	0.5	5/4	5/4	Chord	4/2	14	1	1/8	1/8	1	142	for-									
16	15	243/2	243/2	0.5	11/8	11/8	Chord	4/2	14	1	1/8	1/8	1	143	-tu-									
16	15	122	122	1.0	3/2	3/2	Chord	4/2	14	1	1/4	1/4	1	144	-na-									
16	15	123	123	0.5	7/4	7/4	Chord	4/2	14	1	1/8	1/8	1	145	-ta									
16	15	247/2	247/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	146	Eu-									
16	15	116	116	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
16	15	116	116	4.0	0	0	Chord	4/2	21	1	1	1	1	147										
16	15	120	120	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	148										
16	15	122	122	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	149										
17	16	124	124	2.0	0	0	Chord	4/2	14	1	1/2	1/2	1	150	-ri-									
17	16	126	126	2.0	1/2	1/2	Chord	4/2	14	1	1/2	1/2	1	151	-dice									
17	16	128	128	1.0	1	1	Chord	4/2	14	1	1/4	1/4	1	152	Pur									
17	16	129	129	0.5	5/4	5/4	Chord	4/2	14	1	1/8	1/8	1	153	vi									
17	16	259/2	259/2	0.5	11/8	11/8	Chord	4/2	14	1	1/8	1/8	1	154	con-									
17	16	130	130	1.5	3/2	3/2	Chord	4/2	14	1	3/8	1/4	3/2	155	-giun-									
17	16	263/2	263/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	156	-seil									
17	16	124	124	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
17	16	124	124	4.0	0	0	Chord	4/2	21	1	1	1	1	157										
17	16	128	128	4.0	1	1	Chord	4/2	21	1	1	1	1	158										
18	17	132	132	2.0	0	0	Chord	4/2	14	1	1/2	1/2	1	159	ciel,									
18	17	134	134	1.0	1/2	1/2	Chord	4/2	14	1	1/4	1/4	1	160	o									
18	17	135	135	1.0	3/4	3/4	Chord	4/2	14	1	1/4	1/4	1	161										
18	17	136	136	1.0	1	1	Chord	4/2	14	1	1/4	1/4	1	162										
18	17	137	137	1.0	5/4	5/4	Chord	4/2	14	1	1/4	1/4	1	163	fe-									
18	17	138	138	2.0	3/2	3/2	Chord	4/2	14	1	1/2	1/2	1	164	-lice									
18	17	132	132	4.0	0	0	Chord	4/2	21	1	1	1	1	165										
18	17	136	136	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
18	17	136	136	4.0	1	1	Chord	4/2	21	1	1	1	1	166										
19	18	145	145	1.0	5/4	5/4	Chord	4/2	7	1	1/4	1/4	1	167	Ra-									
19	18	146	146	0.5	3/2	3/2	Chord	4/2	7	1	1/8	1/8	1	168	-ddop									
19	18	293/2	293/2	0.5	13/8	13/8	Chord	4/2	7	1	1/8	1/8	1	169										
19	18	147	147	1.0	7/4	7/4	Chord	4/2	7	1	1/4	1/4	1	170										
19	18	140	140	4.0	0	0	Chord	4/2	14	1	1	1	1	171										
19	18	140	140	4.0	0	0	Chord	4/2	21	1	1	1	1	172										
19	18	144	144	4.0	1	1	Chord	4/2	21	1	1	1	1	173										
20	19	148	148	1.0	0	0	Chord	4/2	7	1	1/4	1/4	1	174	pia,									
20	19	149	149	1.0	1/4	1/4	Chord	4/2	7	1	1/4	1/4	1	175	e									
20	19	150	150	1.5	1/2	1/2	Chord	4/2	7	1	3/8	1/4	3/2	176	fiamm'									
20	19	303/2	303/2	0.5	7/8	7/8	Chord	4/2	7	1	1/8	1/8	1	177	e									
20	19	152	152	2.0	1	1	Chord	4/2	7	1	1/2	1/2	1	178	lu-									
20	19	154	154	2.0	3/2	3/2	Chord	4/2	7	1	1/2	1/2	1	179	-mi									
20	19	148	148	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	180										
20	19	150	150	1.0	1/2	1/2	Chord	4/2	21	1	1/4	1/4	1	181										
20	19	151	151	1.0	3/4	3/4	Chord	4/2	21	1	1/4	1/4	1	182										
20	19	152	152	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	183										
20	19	154	154	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	184										
21	20	313/2	313/2	0.5	1/8	1/8	Chord	4/2	7	1	1/8	1/8	1	185	Al									
21	20	157	157	0.5	1/4	1/4	Chord	4/2	7	1	1/8	1/8	1	186	me-									
21	20	315/2	315/2	0.5	3/8	3/8	Chord	4/2	7	1	1/8	1/8	1	187	-mo-									
21	20	158	158	1.5	1/2	1/2	Chord	4/2	7	1	3/8	1/4	3/2	188	-ra-									
21	20	319/2	319/2	0.5	7/8	7/8	Chord	4/2	7	1	1/8	1/8	1	189	-bil									
21	20	160	160	1.5	1	1	Chord	4/2	7	1	3/8	1/4	3/2	190	gior-									
21	20	323/2	323/2	0.5	11/8	11/8	Chord	4/2	7	1	1/8	1/8	1	191	-no									
21	20	162	162	2.0	3/2	3/2	Chord	4/2	7	1	1/2	1/2	1	192	Fe-									
21	20	156	156	4.0	0	0	Chord	4/2	21	1	1	1	1	193										
21	20	160	160	4.0	1	1	Chord	4/2	21	1	1	1	1	194										
22	21	164	164	2.0	0	0	Chord	4/2	7	1	1/2	1/2	1	195	-bo									
22	21	333/2	333/2	0.5	5/8	5/8	Chord	4/2	7	1	1/8	1/8	1	196	ch'il									
22	21	167	167	0.5	3/4	3/4	Chord	4/2	7	1	1/8	1/8	1	197	ca-									
22	21	335/2	335/2	0.5	7/8	7/8	Chord	4/2	7	1	1/8	1/8	1	198	-rro									
22	21	168	168	3.0	1	1	Chord	4/2	7	1	3/4	1/2	3/2	199	d'or									
22	21	171	171	1.0	7/4	7/4	Chord	4/2	7	1	1/4	1/4	1	200	riuol									
22	21	164	164	4.0	0	0	Chord	4/2	21	1	1	1	1	201										
22	21	168	168	4.0	1	1	Chord	4/2	21	1	1	1	1	202										
23	22	172	172	0.25	0	0	Chord	4/2	7	1	1/16	1/16	1	203										
23	22	689/4	689/4	0.25	1/16	1/16	Chord	4/2	7	1	1/16	1/16	1	204										
23	22	345/2	345/2	0.25	1/8	1/8	Chord	4/2	7	1	1/16	1/16	1	205										
23	22	691/4	691/4	0.25	3/16	3/16	Chord	4/2	7	1	1/16	1/16	1	206										
23	22	173	173	0.5	1/4	1/4	Chord	4/2	7	1	1/8	1/8	1	207										
23	22	347/2	347/2	0.5	3/8	3/8	Chord	4/2	7	1	1/8	1/8	1	208										
23	22	174	174	0.25	1/2	1/2	Chord	4/2	7	1	1/16	1/16	1	209										
23	22	697/4	697/4	0.25	9/16	9/16	Chord	4/2	7	1	1/16	1/16	1	210										
23	22	349/2	349/2	0.25	5/8	5/8	Chord	4/2	7	1	1/16	1/16	1	211										
23	22	699/4	699/4	0.25	11/16	11/16	Chord	4/2	7	1	1/16	1/16	1	212										
23	22	175	175	0.5	3/4	3/4	Chord	4/2	7	1	1/8	1/8	1	213										
23	22	351/2	351/2	0.5	7/8	7/8	Chord	4/2	7	1	1/8	1/8	1	214										
23	22	176	176	1.0	1	1	Chord	4/2	7	1	1/4	1/4	1	215										
23	22	177	177	1.0	5/4	5/4	Chord	4/2	7	1	1/4	1/4	1	216	giin-									
23	22	178	178	2.0	3/2	3/2	Chord	4/2	7	1	1/2	1/2	1	217	-tor-									
23	22	172	172	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	218										
23	22	174	174	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	219										
23	22	176	176	4.0	1	1	Chord	4/2	21	1	1	1	1	220										
24	23	180	180	2.0	0	0	Chord	4/2	7	1	1/2	1/2	1	221	-no									
24	23	183	183	1.0	3/4	3/4	Chord	4/2	14	1	1/4	1/4	1	222	E									
24	23	184	184	2.0	1	1	Chord	4/2	14	1	1/2	1/2	1	223										
24	23	186	186	0.5	3/2	3/2	Chord	4/2	14	1	1/8	1/8	1	224										
24	23	373/2	373/2	0.5	13/8	13/8	Chord	4/2	14	1	1/8	1/8	1	225	ce-									
24	23	187	187	0.5	7/4	7/4	Chord	4/2	14	1	1/8	1/8	1	226	-les-									
24	23	375/2	375/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	227	-ti									
24	23	180	180	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	228										
24	23	182	182	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	229										
24	23	184	184	4.0	1	1	Chord	4/2	21	1	1	1	1	230										
25	24	188	188	2.0	0	0	Chord	4/2	14	1	1/2	1/2	1	231	Nu-									
25	24	190	190	0.5	1/2	1/2	Chord	4/2	14	1	1/8	1/8	1	232	-mi									
25	24	381/2	381/2	0.5	5/8	5/8	Chord	4/2	14	1	1/8	1/8	1	233	Perl'-									
25	24	191	191	0.5	3/4	3/4	Chord	4/2	14	1	1/8	1/8	1	234	-al-									
25	24	383/2	383/2	0.5	7/8	7/8	Chord	4/2	14	1	1/8	1/8	1	235	-to									
25	24	192	192	2.0	1	1	Chord	4/2	14	1	1/2	1/2	1	236	ciel									
25	24	389/2	389/2	0.5	13/8	13/8	Chord	4/2	14	1	1/8	1/8	1	237	co									
25	24	195	195	0.5	7/4	7/4	Chord	4/2	14	1	1/8	1/8	1	238	cer-									
25	24	391/2	391/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	239	-to									
25	24	188	188	4.0	0	0	Chord	4/2	21	1	1	1	1	240										
25	24	192	192	4.0	1	1	Chord	4/2	21	1	1	1	1	241										
26	25	196	196	3.0	0	0	Chord	4/2	14	1	3/4	1/2	3/2	242	mo-									
26	25	199	199	1.0	3/4	3/4	Chord	4/2	14	1	1/4	1/4	1	243	-to									
26	25	200	200	2.0	1	1	Chord	4/2	14	1	1/2	1/2	1	244	err-									
26	25	202	202	2.0	3/2	3/2	Chord	4/2	14	1	1/2	1/2	1	245	-anti									
26	25	196	196	4.0	0	0	Chord	4/2	21	1	1	1	1	246										
26	25	200	200	4.0	1	1	Chord	4/2	21	1	1	1	1	247										
27	26	205	205	0.5	1/4	1/4	Chord	4/2	14	1	1/8	1/8	1	248	Ri-									
27	26	411/2	411/2	0.5	3/8	3/8	Chord	4/2	14	1	1/8	1/8	1	249	-uol-									
27	26	206	206	1.0	1/2	1/2	Chord	4/2	14	1	1/4	1/4	1	250	-ge-									
27	26	207	207	0.5	3/4	3/4	Chord	4/2	14	1	1/8	1/8	1	251	-re									
27	26	415/2	415/2	0.5	7/8	7/8	Chord	4/2	14	1	1/8	1/8	1	252	se-									
27	26	208	208	1.0	1	1	Chord	4/2	14	1	1/4	1/4	1	253	-re-									
27	26	209	209	0.5	5/4	5/4	Chord	4/2	14	1	1/8	1/8	1	254	-ni									
27	26	419/2	419/2	0.5	11/8	11/8	Chord	4/2	14	1	1/8	1/8	1	255	Di									
27	26	210	210	0.5	3/2	3/2	Chord	4/2	14	1	1/8	1/8	1	256	pace,									
27	26	421/2	421/2	0.5	13/8	13/8	Chord	4/2	14	1	1/8	1/8	1	257	e									
27	26	211	211	0.5	7/4	7/4	Chord	4/2	14	1	1/8	1/8	1	258	d'a-									
27	26	423/2	423/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	259	-mor									
27	26	204	204	4.0	0	0	Chord	4/2	21	1	1	1	1	260										
27	26	208	208	4.0	1	1	Chord	4/2	21	1	1	1	1	261										
28	27	212	212	1.0	0	0	Chord	4/2	14	1	1/4	1/4	1	262	pie-									
28	27	213	213	1.0	1/4	1/4	Chord	4/2	14	1	1/4	1/4	1	263	-ni									
28	27	429/2	429/2	0.5	5/8	5/8	Chord	4/2	14	1	1/8	1/8	1	264	All-									
28	27	215	215	0.5	3/4	3/4	Chord	4/2	14	1	1/8	1/8	1	265	-e									
28	27	431/2	431/2	0.5	7/8	7/8	Chord	4/2	14	1	1/8	1/8	1	266	bell'-									
28	27	216	216	1.0	1	1	Chord	4/2	14	1	1/4	1/4	1	267	-alme									
28	27	217	217	1.0	5/4	5/4	Chord	4/2	14	1	1/4	1/4	1	268	i									
28	27	218	218	1.5	3/2	3/2	Chord	4/2	14	1	3/8	1/4	3/2	269	lu-									
28	27	439/2	439/2	0.5	15/8	15/8	Chord	4/2	14	1	1/8	1/8	1	270	-ci-									
28	27	212	212	4.0	0	0	Chord	4/2	21	1	1	1	1	271										
28	27	216	216	4.0	1	1	Chord	4/2	21	1	1	1	1	272										
29	28	226	226	0.5	3/2	3/2	Chord	4/2	8	1	1/8	1/8	1	273	Va									
29	28	453/2	453/2	0.5	13/8	13/8	Chord	4/2	8	1	1/8	1/8	1	274										
29	28	227	227	0.5	7/4	7/4	Chord	4/2	8	1	1/8	1/8	1	275										
29	28	455/2	455/2	0.5	15/8	15/8	Chord	4/2	8	1	1/8	1/8	1	276										
29	28	220	220	1.0	0	0	Chord	4/2	14	1	1/4	1/4	1	277	-di									
29	28	221	221	1.0	1/4	1/4	Chord	4/2	14	1	1/4	1/4	1	278	sem-									
